title,addr,mapx,mapy,contenttypeid
가창 찐빵 골목,대구광역시 달성군 가창면 가창로 1099,128.6222233,35.8027142,12
감삼못공원,대구광역시 서구 서대구로3길 43,128.5522335,35.8586427,12
강정고령보,대구광역시 달성군 다사읍 강정본길 57,128.4650416,35.84115974,12
경극고택,대구광역시 동구 옻골로 195-3,128.6866758,35.90747576,12
경북대학교 미술관,대구광역시 북구 산격동,128.6104913,35.89162615,14
경북대학교박물관,대구광역시 북구 대학로 80,128.6121828,35.89065684,14
경북대학교자연사박물관,대구광역시 군위군 효령면 경북대로 2228,128.5769684,36.1214828,14
경상감영공원,대구광역시 중구 경상감영길 99,128.5923073,35.87205303,12
계명대학교 행소박물관,대구광역시 달서구 달구벌대로 1095,128.4888836,35.85579186,14
계명아트센터,대구광역시 달서구 달구벌대로 1095,128.4888836,35.85579186,14
계성중학교,대구광역시 중구 달성로 35,128.582075,35.86823105,14
고모역복합문화공간,대구광역시 수성구 고모로 208,128.6786418,35.85830062,14
고산골,대구광역시 남구 고산3길 95-1,128.6007581,35.81918417,12
고산골 메타쉐콰이어길,대구광역시 남구 용두2길 43,128.6034409,35.83005243,12
고산서당,대구광역시 수성구 성동로37길 39-3,128.7186912,35.85264367,12
공간울림,대구광역시 수성구 삼덕동,128.668849,35.82804831,14
공룡공원,대구광역시 남구 용두2길 43,128.6034409,35.83005243,12
공항교강변공원,대구광역시 북구 복현동,128.6259647,35.90121424,12
관덕정 순교기념관,대구광역시 중구 관덕정길 11,128.5911187,35.8651399,14
관암사(대구),대구광역시 동구 갓바위로 350 (능성동),128.7332253,35.97767423,12
관음사(대구),대구광역시 동구 둔산로 535,128.6651524,35.91895462,12
광덕사(대구),대구광역시 달성군 가창면 헐티로 1190,128.6123965,35.79781458,12
교남YMCA 회관,대구광역시 중구 남성로 22,128.5893133,35.8680812,12
교항리 이팝나무 군락지,대구광역시 달성군 옥포읍 교항리,128.4375232,35.79064273,12
구암동 고분군,대구광역시 북구 구암동,128.5671802,35.92941274,12
구암서원,대구광역시 북구 연암공원로17길 20,128.5991477,35.89879735,12
구암팜스테이마을,대구광역시 동구 구암길 38,128.6769032,35.95275379,12
국립대구과학관,대구광역시 달성군 테크노대로6길 20 국립대구과학관,128.4664458,35.68624396,14
국립대구기상과학관,대구광역시 동구 효동로2길 10 (효목동),128.6505242,35.87901998,14
국립대구박물관,대구광역시 수성구 청호로 321,128.6383485,35.8455791,14
국립신암선열공원,대구광역시 동구 동북로71길 33,128.6311451,35.89067386,12
국우동 탱자나무,대구광역시 북구 도남길 45-7,128.5804811,35.95312974,12
국채보상운동기념공원,대구광역시 중구 공평로10길 25 대구광역시립중앙도서관,128.6017372,35.86848416,12
국채보상운동기념도서관,대구광역시 중구 공평로10길 25 대구광역시립중앙도서관,128.6017372,35.86848416,14
군위 남천고택,대구광역시 군위군 부계면 한밤5길 19,128.6539856,36.05863858,12
군위 대율리 석조여래입상,대구광역시 군위군 부계면 한밤8길 21-1,128.6539855,36.06109941,12
군위 불로리 마애보살입상,대구광역시 군위군 효령면,128.5816667,36.16596672,12
군위 삼국유사 테마파크,대구광역시 군위군 의흥면 일연테마로 100,128.7012896,36.16087785,12
군위 아미타여래삼존 석굴,대구광역시 군위군 부계면 남산4길 24,128.6406954,36.0477229,12
군위 인각사지,대구광역시 군위군 고로면 삼국유사로 250,128.7783948,36.12809413,12
군위 장곡자연휴양림,대구광역시 군위군 고로면 장곡휴양림길 195,128.8419725,36.12980346,12
군위대율리대청,대구광역시 군위군 부계면 한밤5길 23-3,128.6534939,36.05870801,12
군위문화원,대구광역시 군위군 동서2길 35 군위생활문화센타,128.5675661,36.23306438,14
군위향교,대구광역시 군위군 군위읍 동서2길 17-28,128.5686354,36.23423649,12
근대문화체험관 계산예가,대구광역시 중구 서성로 6-1,128.5878634,35.86718405,14
금용사(대구),대구광역시 달서구 공원순환로 213,128.560583,35.84772464,12
김수환 추기경 사랑과 나눔공원,대구광역시 군위군 군위읍 용대리238-7,128.6006187,36.23234008,12
김원일의 마당깊은 집,대구광역시 중구 약령길 33-10,128.5884967,35.86839782,12
꽃보라동산,대구광역시 북구 산격동,128.6010255,35.88924291,12
나불지 생태공원,대구광역시 동구 각산동,128.7199264,35.87994338,12
나야 대령 기념비,대구광역시 수성구 범어동,128.6337236,35.85434191,12
낙동강승전기념관,대구광역시 남구 앞산순환로 574-110,128.5887867,35.8271386,14
낙동서원,대구광역시 달서구 송현로7길 32,128.5454685,35.82000528,12
낙빈서원,대구광역시 달성군 하빈면 묘동4길 21,128.4124555,35.90797621,12
남계서원,대구광역시 군위군 군위읍 대북길 9,128.5576941,36.25376185,12
남곡서원,대구광역시 군위군 우보면 미성3길 66-7,128.6668424,36.17008172,12
남산동 가톨릭타운(대구),대구광역시 중구 남산로4길 112 (남산동),128.5861109,35.86180407,12
남지장사(대구),대구광역시 달성군 가창면 남지장사길 127,128.627608,35.73514972,12
남평문씨본리세거지,대구광역시 달성군 화원읍 인흥3길 16,128.5183355,35.79225792,12
내곡 모감주나무군락,"대구광역시 동구 내곡동 221, 산91",128.7544705,35.88399634,12
노변동 사직단,대구광역시 수성구 노변동,128.70196,35.83023479,12
노사평화의 전당,대구광역시 달성군 국가산단대로52길 6,128.4200286,35.65271634,14
노태우 대통령 생가,대구광역시 동구 용진길 172,128.6486382,35.98240546,12
녹동서원,대구광역시 달성군 우록길 218 녹동서원,128.6461262,35.72314308,12
논공꽃단지,대구광역시 달성군 논공읍 남리,128.4351558,35.72344474,12
뉴평리도서관,대구광역시 서구 평리로73길 37 (평리동),128.5623128,35.8689556,14
능성세가,대구광역시 북구 서변로3길 47-12,128.593567,35.92151689,12
단산 저수지,대구광역시 동구 팔공로50길 66,128.6502036,35.92200122,12
달서목재문화관,대구광역시 달서구 앞산순환로 248 (송현동),128.5570646,35.8232829,12
달서아트센터,대구광역시 달서구 문화회관길 160,128.5229809,35.84351332,14
달성 삼가헌 고택,대구광역시 달성군 하빈면 묘동4길 15,128.4126889,35.90674024,12
달성 조길방가옥,대구광역시 달성군 가창면 조길방길 92-1,128.5817754,35.75585209,12
달성 태고정,대구광역시 달성군 하빈면 육신사길 64,128.4166106,35.9113509,12
달성 하목정,대구광역시 달성군 하빈면 하목정길 56-10,128.3977576,35.88183168,12
달성 한일우호관,대구광역시 달성군 가창면 우록길 206,128.6471511,35.72336808,14
달성(현풍)사직단,대구광역시 달성군 현풍면 상리,128.4513135,35.69791458,12
달성노을공원,대구광역시 달성군 논공읍 하리 899,128.4157405,35.73730393,12
달성문화원,대구광역시 달성군 현풍면 현풍동로 92,128.4520134,35.69890337,14
달성습지생태학습관,대구광역시 달성군 화원읍 구라1길 88,128.4870793,35.8167268,14
달성토성마을,대구광역시 서구 비산동,128.5755255,35.87324425,12
달성화석박물관,대구광역시 달성군 유가읍 테크노대로6길 66,128.464596,35.68442746,14
달창저수지,대구광역시 달성군 유가읍 구례길 1,128.4688245,35.64515142,12
달창지 벚꽃길,대구광역시 달성군 유가면 비슬로34길 27(한정리 일원),128.45337,35.65527222,12
대견사,대구광역시 달성군 유가읍 용리,128.4883658,35.69763196,12
대구 고모령비,대구광역시 동구 효목동,128.6563571,35.87735917,12
대구 구 동촌역사,대구광역시 동구 동촌역사로3길 35,128.6498351,35.89016037,12
대구 근대골목(근대로의 여행),대구광역시 중구 국채보상로102길 66,128.5867579,35.86778119,12
대구 남구문화원,대구광역시 남구 앞산순환로 478,128.5768876,35.83130736,14
대구 녹색에너지체험관,대구광역시 달서구 성서공단로 52,128.4881842,35.83463035,12
대구 달서문화원,대구광역시 달서구 문화회관길 160,128.5229809,35.84351332,14
대구 달성공원,대구광역시 중구 달성공원로 35,128.5759199,35.87340257,12
대구 달성습지,대구광역시 달성군 화원읍 구라1길 88,128.4870793,35.8167268,12
대구 대표 도시숲,대구광역시 달서구 성당동,128.5568252,35.84234185,12
대구 도동 측백나무 숲,대구광역시 동구 도평로,128.6635775,35.91822412,12
대구 북구문화원,대구광역시 북구 구암로 47,128.5466429,35.93477564,14
대구 불로동 고분군,대구광역시 동구 불로동,128.645657,35.91455476,12
대구 서구문화원,대구광역시 서구 당산로 403,128.5455337,35.87282708,14
대구 스파밸리,대구광역시 달성군 가창면 가창로 891,128.6353392,35.78816054,12
대구 신천물놀이장,대구광역시 남구 신천서쪽자전거길 237 (이천동),128.6075537,35.85427199,12
대구 아쿠아리움,대구광역시 동구 동부로 149,128.6294595,35.87806692,12
대구 약령시 한의약박물관,대구광역시 중구 달구벌대로415길 49,128.5899076,35.86853394,12
대구 오토바이골목,대구광역시 중구 인교동,128.5838136,35.87226951,12
대구 중구문화원,대구광역시 중구 봉산문화길 77,128.5965739,35.86340686,14
대구 진골목,대구광역시 중구 진골목길 26,128.5928074,35.86865342,12
대구 평화시장 닭똥집 골목,대구광역시 동구 아양로9길 6,128.6190297,35.88279119,12
대구 하중도 (금호꽃섬),대구광역시 북구 노곡동 665,128.5598788,35.90079362,12
대구 환경사랑홍보교육관,대구광역시 달서구 성서공단로 40,128.487301,35.83452479,14
대구간송미술관,대구광역시 수성구 미술관로 70 (삼덕동),128.6762067,35.82813177,14
대구경북디자인진흥원,대구광역시 동구 동대구로 461,128.62486,35.8714287,12
대구광역시립남부도서관,대구광역시 남구 앞산순환로 512,128.5807428,35.83204623,14
대구교육대학교 교육박물관,대구광역시 남구 중앙대로 219,128.5889415,35.853069,14
대구교육박물관,대구광역시 북구 대동로1길 40,128.6123604,35.89742553,14
대구근대역사관,대구광역시 중구 경상감영길 67,128.591163,35.87178082,14
대구문화예술회관,대구광역시 달서구 공원순환로 201,128.5594888,35.84511658,14
대구미술관,대구광역시 수성구 미술관로 40 대구미술관,128.6743653,35.82707074,14
대구방짜유기박물관,대구광역시 동구 도장길 29,128.7009674,35.96561389,14
대구부수성비,대구광역시 수성구 팔현길 248,128.6580042,35.87535665,12
대구북구청소년회관 아트홀,대구광역시 북구 검단로 71-17,128.6160599,35.90577187,14
대구서구문화회관,대구광역시 서구 당산로 403,128.5455337,35.87282708,14
대구섬유박물관,대구광역시 동구 팔공로 227 (봉무동),128.6403212,35.91914303,12
대구수목원,대구광역시 달서구 화암로 342,128.5200296,35.8007431,12
대구시민안전테마파크,대구광역시 동구 팔공산로 1155 (용수동),128.6919647,35.98923882,12
대구앞산공원,대구광역시 남구 앞산순환로 574-87,128.589056,35.82901895,12
대구약령시 한방의료체험타운,대구광역시 중구 중앙대로77길 45,128.5909992,35.86825899,12
대구어린이대공원,대구광역시 수성구 동대구로 176,128.6277994,35.84672599,12
대구어린이세상,대구광역시 수성구 동대구로 176,128.6277827,35.84668989,14
대구예술발전소,대구광역시 중구 달성로22길 31-12,128.5845524,35.87548861,14
대구오페라하우스,대구광역시 북구 호암로 15,128.5922515,35.88347396,14
대구제일교회,대구광역시 중구 국채보상로102길 50 (동산동),128.5864052,35.86823669,12
대구창의융합교육원,대구광역시 수성구 동대구로 172 (황금동),128.6262412,35.84563998,12
대구콘서트하우스 (구.대구시민회관),대구광역시 중구 태평로 141,128.5937071,35.87586929,14
대구향교,대구광역시 중구 명륜로 112,128.5959907,35.85975171,12
대구화교협회,대구광역시 중구 종로 34 대구화교소학교,128.5919047,35.86887838,12
대덕문화전당,대구광역시 남구 앞산순환로 478 (대명동),128.5769959,35.83133513,14
대명공연거리,대구광역시 남구 계명중앙1길 54,128.5826086,35.85574358,12
대명유수지,대구광역시 달서구 대천동,128.4907538,35.82214014,12
대백프라자갤러리,대구광역시 중구 명덕로 333,128.6063954,35.85584123,14
대봉배수지,대구광역시 남구 이천동,128.5968352,35.85485228,12
대성사(대구),대구광역시 중구 북성로 19-1 (서야동),128.5845108,35.87379713,12
대율리 송림,대구광역시 군위군 부계면 대율리,128.6537967,36.05921073,12
대한수목원,대구광역시 동구 파계로 446-42,128.632912,35.97383114,12
더폴락,대구광역시 중구 경상감영1길 62-5,128.5932517,35.87369453,14
덕산서원(대구),대구광역시 수성구 청호로46길 5-3,128.6405818,35.83904932,12
도곡재,대구광역시 달성군 하빈면 육신사길 60,128.4165551,35.91048711,12
도남지,대구광역시 북구 도남동,128.5911241,35.97064462,12
도동서원 [유네스코 세계유산],대구광역시 달성군 구지면 도동서원로 1,128.3719204,35.70122943,12
도림사(대구),대구광역시 동구 인산로 242 (진인동),128.7299069,35.94914962,12
도성암,대구광역시 달성군 유가읍 도성길 180,128.5167433,35.71769966,12
도성암 3층석탑,대구광역시 달성군 유가읍 도성길 180,128.5167849,35.71768577,12
독무재,대구광역시 수성구 화랑로42길 31,128.6485411,35.87751734,12
동대구역광장,대구광역시 동구 동대구로 550 (신암동),128.6288011,35.87948064,12
동산계곡,대구광역시 군위군 부계면 원효길,128.6691847,36.04206019,12
동원화랑,대구광역시 중구 봉산문화길 42,128.5981627,35.86201261,14
동인동 찜갈비 골목,대구광역시 중구 동덕로36길 9-12,128.6051507,35.8709895,12
동제미술관(동제미술전시관),대구광역시 달성군 가창면 헐티로10길 18,128.5934345,35.78950128,14
동호서당·동호유적공원,대구광역시 동구 동내동 1112-2,128.7397579,35.88387942,12
동화사(대구),대구광역시 동구 동화사1길 1,128.7034887,35.99035557,12
두류정수장후적지,대구광역시 달서구 두류동,128.5501478,35.85004919,12
들안길먹거리타운,대구광역시 수성구 들안로 109-1,128.616395,35.83970991,12
땅땅식물랜드,대구광역시 동구 팔공로 220-2,128.6424183,35.91850703,12
리안갤러리 대구,대구광역시 중구 이천로 184-31 (대봉동),128.5991988,35.85799919,14
리조트 스파밸리,대구광역시 달성군 가창면 가창로 891,128.635492,35.7889299,12
리조트 스파밸리 네이처파크,대구광역시 달성군 가창면 가창로 891,128.6353392,35.78816054,12
마비정 벽화마을,대구광역시 달성군 화원읍 마비정길 259,128.5422449,35.77929594,12
마천산산림욕장,대구광역시 달성군 다사읍 이천리 산25-2,128.4595047,35.88864871,12
망우당공원,대구광역시 동구 효목동,128.6563904,35.87735361,12
매양서원,대구광역시 북구 매천로37길 48,128.537922,35.91530546,12
명품옻골 1616 협동조합,대구광역시 동구 옻골로 195-5,128.6868425,35.90776184,12
모명재,대구광역시 수성구 달구벌대로527길 13-5 (만촌동),128.6516581,35.85802516,12
모영재,대구광역시 동구 도평로 905 (평광동),128.7190417,35.93431499,12
묘골마을,대구광역시 달성군 하빈면 육신사길 39-4,128.4157941,35.90911225,12
무덤덤투어(더휴앤),대구광역시 동구 반야월북로53길 10,128.7271482,35.87361923,12
문양서원,대구광역시 군위군 부계면 남방길 37,128.6763575,36.09568201,12
문창공영당,대구광역시 동구 도평로38길 51,128.663311,35.91525223,12
물레책방,대구광역시 수성구 달구벌대로492길 15 (범어동),128.6322514,35.85743875,14
미성온천,대구광역시 달서구 조암남로28길 9,128.5175432,35.81768281,12
바운스 트램폴린파크(대구신세계점),대구광역시 동구 효신로 88,128.6324703,35.8793946,12
박곡서당,대구광역시 달성군 가창면 가창동로 219-5,128.6652924,35.77812056,12
박물관 수,대구광역시 수성구 국채보상로186길 79,128.6341705,35.86483795,14
반고개 무침회 골목,대구광역시 서구 달구벌대로375길 14-1,128.5701151,35.86229261,12
반야월역사작은도서관,대구광역시 동구 신서로 50,128.7249595,35.87250543,14
반야월연꽃단지,대구광역시 동구 대림로2길 54-5,128.743983,35.86866455,12
배실웨딩공원,대구광역시 달서구 선원로23길 68 (이곡동),128.5048875,35.86273859,12
백련사(대구),대구광역시 달서구 중흥로 67,128.5588698,35.82886286,12
백원서원,대구광역시 동구 도평로51길 18,128.6629748,35.92070438,12
법장사(대구),대구광역시 남구 고산3길 96-4,128.5996414,35.82340867,12
법주사(군위),대구광역시 군위군 소보면 달산3길 215,128.4383208,36.27262971,12
병암서원,대구광역시 달서구 새방로 21,128.5212028,35.86091409,12
보이드 갤러리,대구광역시 중구 명륜로26길 79-2,128.5977656,35.85653544,14
복현오거리 먹자골목,대구광역시 북구 복현동,128.6150241,35.89698396,12
봉강서원,대구광역시 군위군 우보면 화계봉산길 795,128.6412863,36.16929523,12
봉무공원,대구광역시 동구 팔공로50길 66 (봉무동),128.6483788,35.92041803,12
봉무정,대구광역시 동구 팔공로 327-7,128.6405793,35.92820034,12
봉산문화거리,대구광역시 중구 봉산문화길 38,128.5980293,35.86180429,12
봉산문화회관,대구광역시 중구 봉산문화길 77,128.5965517,35.86312634,14
봉산서원(대구),대구광역시 수성구 수성로12길 70,128.6122872,35.83301893,12
부인사(대구),대구광역시 동구 팔공산로 967-28,128.6740023,35.99494895,12
북산서원,대구광역시 군위군 군위읍 대북길 207-3,128.5657235,36.26937689,12
북지장사(대구),대구광역시 동구 도장길 243,128.7148547,35.97645736,12
비슬산 군립공원,대구광역시 달성군 유가읍 일연선사길 99,128.5129249,35.69005271,12
비슬산 유가사,대구광역시 달성군 유가읍 유가사길 161,128.5073414,35.71459983,12
비슬산자연휴양림,대구광역시 달성군 유가읍 일연선사길 99,128.5129249,35.69005271,12
사단법인 푸른차문화연구원,대구광역시 수성구 유니버시아드로11길 41 (삼덕동),128.6771592,35.83507822,12
사라온이야기마을,대구광역시 군위군 군위읍 동서길 49,128.5677576,36.23620014,12
사문진 주막촌,대구광역시 달성군 화원읍 사문진로1길 40-12,128.4786968,35.81114117,12
사문진나루터,대구광역시 달성군 화원읍 성산리,128.4786302,35.8111245,12
사문진역사공원,대구광역시 달성군 화원읍 사문진로1길 40-12,128.4786302,35.8111245,12
사문진피크닉장,대구광역시 달성군 화원읍 성산리,128.4770248,35.80894416,12
사유원,대구광역시 군위군 치산효령로 1150,128.6831432,36.09071881,12
사효자굴,대구광역시 달성군 유가읍 양리,128.4880323,35.70263694,12
