title,addr,mapx,mapy
가마솥에 누른 밥,대구광역시 동구 서촌로23길 13-11,128.6205184,35.9841103
가야성,대구광역시 달서구 월배로83길 7,128.5513371,35.83149575
가원식당,대구광역시 동구 팔공산로199길 6-3,128.6968281,35.99067764
가창닭갈비,대구광역시 달성군 가창로119길 13,128.6493914,35.76554113
가창숯불갈비,대구광역시 달성군 가창로175길 14,128.6373668,35.7877134
갈비만 대구본점,대구광역시 달서구 조암로 58,128.5237092,35.82433217
감나무집,대구광역시 달성군 우록3길 73,128.636755,35.71669642
강원도집,대구광역시 달성군 가창면 가창로176길 18,128.6360085,35.79019921
개정,대구광역시 중구 동성로 36-6,128.5942794,35.87307795
걸리버막창,대구광역시 북구 옥산로 53,128.5814829,35.88557352
게이블루프커피,대구광역시 달성군 강정본길 77,128.4635723,35.84236236
고구려숯불갈비,대구광역시 달성군 화원읍 명천로 244,128.4921821,35.79874004
고령촌돼지찌개 앞산본점,대구광역시 남구 앞산순환로 440-1,128.574149,35.83007411
고모역쭈꾸미,대구광역시 수성구 고모로 188,128.6795556,35.85654251
고미텐,대구광역시 수성구 동원로 6,128.6405507,35.85949145
고운곰탕,대구광역시 수성구 달구벌대로 2474-8,128.6333847,35.85826646
고향차밭골,대구광역시 동구 팔공산로 339,128.6205766,35.98788487
곳 카페,대구광역시 동구 팔공로 525,128.6465394,35.94505687
공심옥,대구광역시 수성구 유니버시아드로 318,128.7051653,35.82951826
곽옥자삼대곰탕,대구광역시 수성구 들안로 64,128.6172478,35.83561872
구공탄막창 본점,대구광역시 서구 국채보상로 308 (평리동),128.5646292,35.87175255
구일식당,대구광역시 서구 평리로35길 28-10,128.5439563,35.86232268
국수마을,대구광역시 북구 원대로19길 16,128.580408,35.88647895
국일따로국밥,대구광역시 중구 국채보상로 571,128.5932073,35.87112259
국일생갈비,대구광역시 중구 국채보상로 492,128.5845497,35.87039752
군산집,대구광역시 군위군 창평길 19,128.6648723,36.09962858
군위이로운한우,대구광역시 군위군 효령면 간동유원지길 14,128.5843883,36.17844591
군위참좋은한우직판장,대구광역시 군위군 간동유원지길 5,128.5835884,36.17873475
금강역 레일카페(반야월연꽃마을협동조합),대구광역시 동구 금강로 153,128.7371893,35.86265677
금강회초밥,대구광역시 수성구 청수로 115,128.6208696,35.84057378
금산곰탕,대구광역시 달성군 구지면 구지동로 234,128.4576977,35.64346807
금산삼계탕,대구광역시 수성구 들안로 49,128.6162841,35.83423831
금수강산해물탕,대구광역시 수성구 들안로 60,128.6172117,35.8353382
기러기농장가든,대구광역시 군위군 효령면 용매로 788,128.5957789,36.08472898
기리,대구광역시 수성구 달구벌대로492길 27,128.6332153,35.85723324
기와집보쌈,대구광역시 북구 대천로7길 6-10,128.5533589,35.93824481
길목가든,대구광역시 달성군 유가읍 휴양림길 207,128.5043312,35.69221342
김바우삼겹살,대구광역시 달서구 송현동1길 19-22,128.5496651,35.82920432
김진수로스터리카페,대구광역시 중구 이천로 205,128.5985405,35.85961288
김태근한방요리,대구광역시 달서구 큰장로 9,128.5741315,35.86099283
김태희옛날손국수,대구광역시 달성군 옥포로 597,128.4888005,35.74671253
까꾸리웰빙손칼국수,대구광역시 수성구 월드컵로5길 17,128.6828449,35.83209811
까사드테하,대구광역시 달성군 녹문길 16-11,128.6588053,35.7354697
꼬밥,대구광역시 동구 파계로 620,128.6362392,35.98541322
꽃잔디식당,대구광역시 달성군 달구벌대로 750,128.4553336,35.86015186
낙영찜갈비,대구광역시 중구 동덕로36길 9-17,128.6026953,35.87426686
낙희,대구광역시 수성구 충의로 30,128.6470222,35.86420493
남도명가,대구광역시 수성구 들안로 40 남도명가,128.617309,35.8333412
내안에,대구광역시 수성구 무학로 85,128.6179396,35.83016658
노이식탁,대구광역시 남구 대명남로 188,128.5785623,35.83539304
녹양 향촌점,대구광역시 중구 중앙대로 439-1,128.5918073,35.87552207
녹양구이 두산동점,대구광역시 수성구 무학로17길 21 (두산동),128.6179562,35.83048321
뉴욕바닷가재 대구,대구광역시 수성구 용학로 106-7,128.6193063,35.82443947
다이닝슬로우라이프,대구광역시 수성구 상록로2길 45,128.6251797,35.86161315
대가웍 본점,대구광역시 달성군 현풍동로29길 5,128.4460194,35.70005036
대구전통따로식당,대구광역시 중구 국채보상로 563-1,128.5924185,35.87098093
대덕식당,대구광역시 남구 앞산순환로 443,128.5735657,35.83103788
대동강식당,대구광역시 남구 대봉로 57-1,128.6039238,35.84392032
대륙회초밥,대구광역시 수성구 들안로 99,128.616195,35.83875446
대백손칼국수,대구광역시 중구 동덕로 114 (삼덕동2가),128.6032455,35.86479572
대봉정,대구광역시 중구 명덕로 249,128.5979823,35.8564049
대새목장,대구광역시 달성군 가창로93길 523,128.6075289,35.74592869
대성기사한식뷔페,대구광역시 서구 달서천로 338,128.5712283,35.88419571
대쿠이 본점,대구광역시 남구 중앙대로51길 38-2,128.5885164,35.85639084
대하닭갈비,대구광역시 중구 동성로6길 45,128.5978986,35.86899237
대화의장,대구광역시 중구 북성로 104-15,128.5941682,35.87383342
더 메모리,대구광역시 군위군 산성면 산성가음로 711,128.6955772,36.12694827
더기네장어,대구광역시 동구 팔공산로2길 88,128.6154381,35.99118996
더덕고을,대구광역시 동구 파계로 152-5,128.6370013,35.94710369
더커먼,대구광역시 중구 국채보상로 741,128.6117502,35.86868432
더크,대구광역시 남구 안골길 42,128.5767014,35.83695394
데우스커피,대구광역시 수성구 동대구로14길 15-6,128.6252526,35.83729368
데이라,대구광역시 달서구 서당로9길 47,128.4930054,35.85610301
도케비커피 본점,대구광역시 달성군 음동길 130-15,128.4882741,35.69800136
돈박사곱창막창,대구광역시 남구 대명로36길 79-1,128.5743016,35.8361762
동곡할매손칼국수,대구광역시 달성군 하빈면 달구벌대로55길 104-4,128.4176531,35.87911013
동림식당,대구광역시 동구 파계로116길 49,128.6374557,35.98621038
동봉,대구광역시 동구 팔공로 995,128.6874355,35.95510372
동원찜갈비,대구광역시 중구 동덕로36길 9-4,128.6051062,35.87069231
동이식당,대구광역시 달서구 한실로6길 165-7,128.5300039,35.79333301
돼지만 본점,대구광역시 달서구 상화북로 192,128.5467213,35.81313386
두류해물탕본점,대구광역시 달서구 달구벌대로 1511,128.5323327,35.85015718
디브몽트,대구광역시 북구 구리로 201-3 (국우동),128.5773287,35.95026334
똘똘이식당,대구광역시 서구 달구벌대로375길 31,128.5711261,35.86352305
라가,대구광역시 수성구 신매로16길 45 (신매동),128.709523,35.83851732
라벨라쿠치나,대구광역시 수성구 무학로 151,128.6252611,35.83060555
레이틀리92,대구광역시 동구 초례로 6,128.7525154,35.87563059
련,대구광역시 북구 동천로 128-15,128.5624747,35.94285001
로렐트리 동촌유원지 본점,대구광역시 동구 효동로6길 122,128.6547294,35.87977553
롤러커피,대구광역시 중구 달구벌대로414길 36,128.5892939,35.86455382
루미너스,대구광역시 수성구 희망로 204,128.6211139,35.84612038
루시드,대구광역시 중구 동성로4길 94,128.5996512,35.86882853
룰리커피,대구광역시 수성구 고모로 188,128.6795556,35.85654251
류,대구광역시 중구 동성로4길 91,128.5993957,35.86882852
리안,대구광역시 수성구 교학로4길 48,128.6503971,35.85538099
리틀맨리,대구광역시 군위군 창평길 25-3,128.6654501,36.09917864
마루막창 수성점,대구광역시 수성구 수성못2길 5,128.6224504,35.8256255
마르텐사이트,대구광역시 달성군 하빈로 363,128.4392034,35.89985262
마이커피컬로맨스,대구광역시 중구 동성로4길 93,128.599429,35.86894518
만솥,대구광역시 수성구 동대구로 237,128.6244356,35.85161705
메르헨카페,대구광역시 달성군 성산로 1281,128.398483,35.76107037
메종듀미디,대구광역시 동구 서촌로21길 11,128.6240903,35.98354376
면장수,대구광역시 수성구 무학로 105,128.6201033,35.83035826
명동돼지한마리,대구광역시 수성구 범어천로 48 명국빌딩,128.623894,35.8511782
