title,addr,mapx,mapy
공감호스텔 동성로(공감동성로게스트하우스),대구광역시 중구 동성로12길 9,128.5963487,35.87168926
군위 상매댁(군위남천고택),대구광역시 군위군 부계면 한밤5길 19,128.6540133,36.05867746
글렌즈 게스트하우스(글렌즈게스트하우스),대구광역시 중구 달구벌대로445길 16-13,128.6070729,35.86334595
대구 메리어트 호텔,대구광역시 동구 동부로26길 6,128.6276708,35.87536442
대구 수성 더 아르코 호텔 라이온즈파크점,대구광역시 수성구 알파시티1로40길 6 (대흥동),128.6823004,35.83711142
대구그랜드호텔,대구광역시 수성구 동대구로 305,128.6251882,35.8576997
더한옥&스파,대구광역시 중구 서성로16길 46-5,128.5901742,35.8730751
백불고택,대구광역시 동구 옻골로 195-5,128.6845926,35.91069758
브라운도트 호텔 대구수성점,대구광역시 수성구 동대구로25길 33 (황금동),128.6232471,35.84112377
비바스호텔,대구광역시 서구 서대구로21길 6 (평리동),128.554708,35.8680889
빌리언웨스턴호텔 대구성서점,대구광역시 달서구 달서대로 467 (호산동),128.4913949,35.84118244
사라네집,대구광역시 남구 중앙대로40길 48-6,128.5930857,35.85028606
상상하우스,대구광역시 남구 매자안길 39,128.5595891,35.83147924
서문한옥게스트하우스,대구광역시 중구 큰장로24길 26,128.5795753,35.86676173
세느 게스트하우스,대구광역시 중구 국채보상로 733-5,128.6107947,35.86888984
스테이 원향,대구광역시 남구 이천로28길 27-2 (이천동),128.5995961,35.85430795
스테이 지안[한국관광 품질인증/Korea Quality],대구광역시 중구 달구벌대로447길 72-3,128.6086283,35.86575127
시안호텔,대구광역시 서구 서대구로 117 (평리동),128.5549246,35.86841108
앞산비즈니스호텔,대구광역시 남구 대명동,128.5804174,35.84609741
애가 한옥 게스트하우스,대구광역시 중구 남산로2길 11-11 (남산동),128.5832669,35.85742674
애가Ⅱ,대구광역시 중구 서성로16길 46-4,128.5899631,35.87320285
에오스,대구광역시 중구 중앙대로81길 22,128.5923907,35.86994494
엘디스 리젠트 호텔,대구광역시 중구 달구벌대로 2033,128.5860997,35.8666563
엘리시아호텔,대구광역시 달서구 대곡동,128.5335089,35.80118497
여주현_감성독채한옥숙소,대구광역시 중구 서성로13길 7-6 (서성로1가),128.5869328,35.87202515
온나 게스트하우스,대구광역시 중구 남성로 4,128.5875745,35.86909494
온도호텔,대구광역시 달서구 야외음악당로 213-1,128.5578442,35.8546627
유니드호텔,대구광역시 달서구 이곡서로 86 (이곡동),128.5061349,35.85458675
유니온관광호텔,대구광역시 중구 태평로 117,128.5907851,35.87613587
유원게스트하우스,대구광역시 남구 앞산순환로93길 48,128.5753099,35.83430976
이시아호텔,대구광역시 동구 팔공로47길 38,128.636766,35.92023728
자연닮은 치유농장,대구광역시 군위군 삼국유사면 화산산성길 65-1,128.7799509,36.10568281
창앤영펜션,대구광역시 달성군 유가읍 휴양림길 532,128.4843216,35.70072598
컨벤션비지니스호텔,대구광역시 북구 유통단지로8길 86 (산격동),128.61406,35.90596348
퀸벨호텔,대구광역시 동구 동촌로 200,128.6621676,35.88246981
크리스탈관광호텔,대구광역시 달서구 달구벌대로 1910,128.5737093,35.86212325
팔공 에밀리아호텔,대구광역시 동구 팔공산로 1121,128.690162,35.99171351
팔공산맥섬석 유스호스텔,대구광역시 동구 갓바위로 223-35,128.7270343,35.97314963
팔공산온천관광호텔,대구광역시 동구 팔공산로185길 11,128.6922646,35.99100807
한옥1957,대구광역시 중구 국채보상로101길 20-2,128.5846802,35.87165571
한옥게스트하우스 '安(Ahn)',대구광역시 중구 국채보상로149길 98,128.610889,35.87289772
핸드메이드 숙소 호텔제나 서대구역점,대구광역시 서구 서대구로25길 5 (평리동),128.5536886,35.86944706
호텔 노블스테이(노블스테이),대구광역시 중구 국채보상로123길 23,128.5972847,35.87172538
호텔 라온제나,대구광역시 수성구 범어천로 73,128.6224496,35.85371677
호텔 아리아나,대구광역시 수성구 동대구로 27,128.6229168,35.83277193
호텔 아젤리아,대구광역시 달성군 유가읍 용리,128.5060393,35.69228567
호텔 투하트,대구광역시 동구 동부로26길 63 (신천동),128.6283848,35.87026501
호텔 피에드 수성,대구광역시 수성구 알파시티1로4길 18 (대흥동),128.6872332,35.84022783
호텔드포레,대구광역시 달성군 가창로 891,128.635492,35.7889299
호텔시리즈5.0,대구광역시 달서구 달서대로85길 6-15 (호림동),128.4908894,35.83857995
호텔아시아,대구광역시 동구 동부로22길 75-1,128.6276598,35.86987893
호텔야자 대구성서점,대구광역시 달서구 성서공단로15길 61 (호산동),128.4901089,35.84069359
호텔에이치,대구광역시 동구 동부로26길 59,128.6282848,35.87066496
호텔여기어때 대구역점,대구광역시 중구 서성로 102-6,128.5882993,35.87549979
호텔여기어때 서대구점,대구광역시 서구 달서로 151,128.5707869,35.87564667
호텔인터불고 대구,대구광역시 수성구 팔현길 212,128.6601347,35.87310694
호텔인터불고 엑스코,대구광역시 북구 유통단지로 80,128.611213,35.90699942
호텔크라페 성서점[한국관광 품질인증/Korea Quality],대구광역시 달서구 성서공단로11길 6-4,128.4885425,35.83548859
호텔포레스트701,대구광역시 동구 동부로22길 86 (신천동),128.6271599,35.86893736
히로텔,대구광역시 중구 국채보상로 657-12,128.6030703,35.87004512
2월 호텔 더시그니처 동성로점,대구광역시 중구 동일동,128.5928712,35.8696422
(사)영남선비문화수련원(구암서원),대구광역시 북구 연암공원로17길 20,128.5968533,35.90162476
(주)동성갤러리아,대구광역시 중구 동성로2길 18-19 (삼덕동1가),128.597357,35.86671761
AW호텔,대구광역시 달서구 성서로 413,128.5066959,35.85456177
The house of Gallery(The house of gallery),대구광역시 남구 대명로57길 20-22,128.5875974,35.84500323
